Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[2]	[[617.47, 1160.53]]	1	1.0	1.0	7	236.66515972508182	19970	37	0.2	1656.6561180755727	453	453	27	27	1
[2, 3]	[[617.47, 985.717965749764], '21']	1	1.0	1.0	2	247.34675669916263	19970	121	0.4	494.69351339832525	191	191	11	11	1
[3, 1]	['21', '2']	0	0.9458608278344331	0.9458608278344331	2	289.69192136556353	19976	157	0.4	581.2298034139088	6307	6668	366	387	1
[2]	[[-52.18000000000001, 620.1800000000001]]	0	0.9697549374418364	0.9697549374418364	1	310.2243036728219	19989	157	0.2	316.8599681109803	18757	19342	1089	1123	1
[1, 4]	['2', '1']	0	0.8822929936305732	0.8822929936305732	1	304.4990341985372	19989	172	0.4	308.34224093521436	3463	3925	201	228	1
[3]	['22']	0	0.9447159437996335	0.9447159437996335	9	313.9086384642425	19939	191	0.2	2813.7221827227277	6186	6548	360	381	1
[2]	[[15.515000000000015, 390.485]]	0	0.9777345438824038	0.9777345438824038	3	313.67639916961105	19989	240	0.2	970.8070263844397	18092	18504	1055	1079	1
[3]	['21']	0	0.9457611668185961	0.9457611668185961	10	289.69192136556353	19976	395	0.2	2906.1490170695442	6225	6582	366	387	1
[1]	['2']	0	0.9452985341437254	0.9452985341437254	13	310.20589034413763	19989	420	0.2	49547.467752051314	18508	19579	1089	1152	1
[3]	['23']	0	0.9452728670253651	0.9452728670253651	10	317.2878283672645	19989	470	0.2	3198.5978545908065	6149	6505	363	384	1
[0]	['4']	0	0.9450092421441775	0.9450092421441775	9	317.8524391797863	19989	535	0.2	2885.089940772596	6135	6492	363	384	1
[3, 2]	['23', [237.655, 664.345]]	1	0.20137693631669534	0.20137693631669534	1	306.4237905170657	19996	572	0.4	306.4237905170657	234	1162	14	69	1
[2]	[[6.050000000000011, 393.95]]	0	0.9779774296044702	0.9779774296044702	1	313.676347701998	19989	664	0.2	323.6022416054649	17852	18254	1064	1088	1
[0]	['6']	0	0.9453076444996893	0.9453076444996893	10	312.03979810817157	19976	687	0.2	3120.3979810817154	6084	6436	363	384	1
[4]	['1']	0	0.881395959065862	0.881395959065862	7	304.4990341985372	19989	728	0.2	2158.3956865465007	3359	3811	201	228	1
[3, 4]	['23', '2']	1	0.15797914995990378	0.15797914995990378	2	326.5944104276812	19996	826	0.4	7233.538201517331	197	1247	12	75	1
[4]	['0']	0	0.9745189807592304	0.9745189807592304	11	333.8914334203576	19960	841	0.2	3672.8057676239337	3748	3846	225	231	1
[2]	[[-124.30000000000001, 330.32]]	0	0.9772592446114297	0.9772592446114297	2	314.43174152894596	19989	862	0.2	650.1552403474451	14826	15171	893	914	1
[2]	[[734.47, 1277.53]]	1	1.0	1.0	5	218.77038422244772	19970	898	0.2	1093.8519211122386	366	366	22	22	1
[2]	[[-124.30000000000001, 811.9449999999999]]	0	0.9637897885067294	0.9637897885067294	1	310.22429910175407	19989	909	0.2	316.85995918311335	18046	18724	1089	1130	1
[2]	[[933.98, 1296.02]]	1	1.0	1.0	3	206.37068046480312	19865	1150	0.2	619.1120413944093	197	197	12	12	1
[2]	[[-80.67000000000002, 410.67]]	0	0.9782306880657522	0.9782306880657522	1	313.662379594822	19989	1157	0.2	323.5749601461368	17615	18007	1077	1101	1
[2, 0]	[[764.5162923604619, 1363.555], '5']	1	1.0	1.0	1	233.71609825854475	19915	1208	0.4	233.71609825854475	97	97	6	6	1
[4]	['2']	0	0.8681525241675617	0.8681525241675617	8	308.1665489023584	19769	1233	0.2	2443.665489023584	3233	3724	198	228	1
[2, 1, 4]	[[617.47, 985.717965749764], '2', '2']	1	1.0	1.0	1	242.63363091381967	19970	1273	0.6	242.63363091381967	99	99	6	6	1
[2, 1]	[[502.9259460230478, 504.53], '2']	0	0.1	1.0	1	133.97059374320276	1361	1361	0.4	133.97059374320276	0	0	0	0	1
[2]	[[130.005, 685.995]]	0	0.9608266918816696	0.9608266918816696	2	310.97913402870324	19976	1439	0.2	633.5597938396976	14226	14806	883	919	1
[2, 1, 3]	[[441.89818311325376, 1028.83], '2', '22']	1	0.9	0.9	1	231.1164988733812	19915	1483	0.6	231.1164988733812	144	160	9	10	1
[2, 1]	[[617.47, 985.717965749764], '2']	1	1.0	1.0	1	244.32970395774242	19970	1501	0.4	244.32970395774242	257	257	16	16	1
[2]	[[-1.204999999999984, 477.205]]	0	0.9749453505969397	0.9749453505969397	1	310.2243036728219	19989	1598	0.2	316.8599681109803	17394	17841	1089	1117	1
[2, 1, 4]	[[617.47, 985.717965749764], '2', '1']	1	1.0	1.0	1	245.38944258448768	19933	1615	0.6	245.38944258448768	158	158	10	10	1
[0]	['5']	0	0.9454159176336002	0.9454159176336002	9	310.85638391714537	19926	1644	0.2	2849.292898834857	5785	6119	363	384	1
[2, 0]	[[617.47, 985.717965749764], '5']	1	1.0	1.0	1	240.91751995691524	19915	1671	0.4	240.91751995691524	93	93	6	6	1
[2]	[[-124.30000000000001, 239.95]]	0	0.9837709323961132	0.9837709323961132	3	321.9598116089038	19989	1946	0.2	982.1241169167367	9517	9674	608	618	1
[2]	[[532.8199999999999, 1205.18]]	1	1.0	1.0	3	231.6417956039069	19970	1959	0.2	694.9253868117207	533	533	34	34	1
[2]	[[-124.30000000000001, 526.645]]	0	0.9751905116598866	0.9751905116598866	1	310.2243036728219	19989	1997	0.2	316.8599681109803	17020	17453	1089	1117	1
[2]	[[-124.30000000000001, 664.365]]	0	0.9654089845310806	0.9654089845310806	1	310.22429910175407	19989	2105	0.2	316.85995918311335	16913	17519	1089	1128	1
[2, 1]	[[1273.637515755533, 1363.555], '2']	1	1.0	1.0	1	92.84129279999999	19903	2121	0.4	92.84129279999999	16	16	1	1	1
[2]	[[-124.30000000000001, 690.085]]	0	0.9646499369771973	0.9646499369771973	1	310.22429910175407	19989	2188	0.2	316.85995918311335	16837	17454	1089	1129	1
