Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[4]	['2']	0	0.8689655172413793	0.8689655172413793	10	312.61230528726094	9983	1233	0.2	31404.15358931629	1512	1740	198	228	1
[2, 1, 4]	[[617.47, 985.717965749764], '2', '2']	1	1.0	1.0	1	249.00413581988693	9602	1273	0.6	249.00413581988693	45	45	6	6	1
[2, 4]	[[73.61000000000001, 668.39], '2']	1	0.09565217391304348	0.09565217391304348	1	310.3043047510402	9993	1310	0.4	310.3043047510402	143	1495	19	197	1
[2, 1]	[[502.9259460230478, 504.53], '2']	0	0.1	1.0	1	133.97059374320276	1361	1361	0.4	133.97059374320276	0	0	0	0	1
[2]	[[130.005, 685.995]]	0	0.9603569338794616	0.9603569338794616	8	317.72130065589516	9994	1439	0.2	2501.3066534354525	6565	6836	883	919	1
[2, 1, 3]	[[441.89818311325376, 1028.83], '2', '22']	1	0.9027777777777778	0.9027777777777778	1	216.10082073980385	9735	1483	0.6	216.10082073980385	65	72	9	10	1
[2, 1]	[[617.47, 985.717965749764], '2']	1	1.0	1.0	3	246.58019879499255	9969	1501	0.4	739.7405963849776	117	117	16	16	1
[2]	[[-38.52999999999997, 423.97692637416185]]	0	0.9767413392092056	0.9767413392092056	2	320.3325665779001	9994	1502	0.2	644.5864659295659	7979	8169	1082	1107	1
[2, 1]	[[764.5162923604619, 985.717965749764], '2']	1	1.0	1.0	4	234.68052044454004	9969	1538	0.4	938.7220817781601	73	73	10	10	1
[2, 3, 4, 0]	[[-124.30000000000001, 407.41499999999996], '23', '2', '4']	1	0.15300546448087432	0.15300546448087432	1	310.0345684960882	9607	1543	0.8	310.0345684960882	28	183	4	25	1
[4, 0]	['2', '4']	1	0.12704174228675136	0.12704174228675136	1	314.0222505151332	9607	1543	0.4	314.0222505151332	70	551	10	76	1
[2]	[[-124.30000000000001, 425.78499999999997]]	0	0.9770342017533029	0.9770342017533029	1	320.3325665779001	9994	1580	0.2	322.29323296478293	7913	8099	1083	1108	1
[2]	[[-1.204999999999984, 477.205]]	0	0.974469129741009	0.974469129741009	5	317.2724788414843	9994	1598	0.2	1564.772931541204	7939	8147	1089	1117	1
[2, 1, 4]	[[617.47, 985.717965749764], '2', '1']	1	1.0	1.0	2	245.72410434472954	9969	1615	0.6	491.4482086894591	72	72	10	10	1
[0]	['5']	0	0.9443846429852888	0.9443846429852888	4	290.3876544187406	9983	1644	0.2	1210.938272093703	2632	2787	363	384	1
[2, 4]	[[237.655, 664.345], '2']	1	0.15558510638297873	0.15558510638297873	1	306.85660320104535	9993	1665	0.4	306.85660320104535	117	752	16	104	1
[2, 0]	[[617.47, 985.717965749764], '5']	1	1.0	1.0	2	231.92269508498015	9735	1671	0.4	463.8453901699603	42	42	6	6	1
[2, 3]	[[-38.52999999999997, 159.192141141302], '23']	0	0.9806666666666667	0.9806666666666667	1	319.65072434889214	9930	1722	0.4	319.65072434889214	1471	1500	205	209	1
[2, 3]	[[484.83731333598905, 985.717965749764], '23']	1	1.0	1.0	1	265.592	9865	1801	0.4	265.592	7	7	1	1	1
[2]	[[-117.065, 393.95]]	0	0.9776312386863202	0.9776312386863202	7	326.9921082223751	9994	1817	0.2	2256.0526307534806	7561	7734	1065	1089	1
[2]	[[460.42499999999995, 1171.575]]	1	0.9696969696969697	0.9696969696969697	1	235.0359426766658	9969	1905	0.2	235.0359426766658	224	231	32	33	1
[2, 4]	[[348.58769808014824, 410.67], '1']	0	0.9548387096774194	0.9548387096774194	1	310.94193231589946	9600	1911	0.4	310.94193231589946	148	155	21	22	1
[2]	[[-124.30000000000001, 239.95]]	0	0.9837925445705025	0.9837925445705025	9	328.7413202811138	9983	1946	0.2	2939.073931958067	4249	4319	608	618	1
