Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[2]	[[617.47, 1160.53]]	1	1.0	1.0	27	241.66790974806253	4994	37	0.2	133562.0028571597	115	115	27	27	1
[2, 1, 3]	[[6.585000000000008, 407.41499999999996], '2', '23']	1	0.04539800995024876	0.04539800995024876	5	456.8534408258648	4999	110	0.6	190728.8991191014	73	1608	18	381	1
[2, 3]	[[617.47, 985.717965749764], '21']	1	1.0	1.0	4	253.00943242629623	4994	121	0.4	1012.0377297051849	48	48	11	11	1
[3]	['21']	1	0.0544464609800363	0.0544464609800363	4	367.90480052107677	4994	121	0.2	81963.81989685635	90	1653	21	387	1
[2]	[[227.17000000000002, 1028.83]]	1	0.07643581081081081	0.07643581081081081	1	317.2473561473845	4994	154	0.2	317.2473561473845	181	2368	44	564	1
[3, 1]	['21', '2']	0	0.946078431372549	0.946078431372549	4	367.90480052107677	4987	157	0.4	1471.619202084307	1544	1632	366	387	1
[2]	[[-52.18000000000001, 620.1800000000001]]	0	0.9701207883026065	0.9701207883026065	1	423.92095941583386	4987	157	0.2	423.92095941583386	4578	4719	1089	1123	1
[2, 3, 4]	[[6.585000000000008, 407.41499999999996], '23', '1']	1	0.09937888198757763	0.09937888198757763	2	488.14721472952766	4746	168	0.6	14895.432207315604	32	322	8	77	1
[2, 1, 4]	[[6.585000000000008, 407.41499999999996], '2', '1']	1	0.03760282021151586	0.03760282021151586	1	416.66874545998655	4746	168	0.6	8400.534421435377	32	851	8	203	1
[1, 4]	['2', '1']	0	0.8846960167714885	0.8846960167714885	1	388.2113257824184	4925	172	0.4	388.2113257824184	844	954	201	228	1
[3]	['22']	0	0.9439546599496221	0.9439546599496221	3	367.3084543438787	4955	191	0.2	1101.9253630316362	1499	1588	360	381	1
[2, 1]	[[1014.4449999999999, 1363.555], '2']	1	1.0	1.0	5	172.7853413401514	4927	202	0.4	863.926706700757	48	48	12	12	1
[1, 2]	['2', [594.52, 134.3]]	1	0.1	1.0	1	3.0	226	226	0.4	3.0	0	0	0	0	1
[2]	[[15.515000000000015, 390.485]]	0	0.9777727885047148	0.9777727885047148	36	428.96270719772576	4987	240	0.2	431045.3866081485	4355	4454	1055	1079	1
[2, 4]	[[227.17000000000002, 1028.83], '2']	1	0.19077568134171907	0.19077568134171907	1	311.58107798492995	4994	261	0.4	311.58107798492995	91	477	22	116	1
[1]	['2']	1	0.054664415365132966	0.054664415365132966	23	416.56061187722236	4999	261	0.2	3056086.031454032	259	4738	63	1152	1
[2, 3]	[[1014.4449999999999, 1363.555], '22']	1	1.0	1.0	2	172.7869020133258	4927	319	0.4	345.5738040266516	44	44	11	11	1
[1, 2]	['2', [52.54000000000002, 621.46]]	0	0.9688628158844765	0.9688628158844765	2	423.920834356098	4987	323	0.4	847.841668712196	4294	4432	1058	1092	1
[3]	['22']	1	0.054404145077720206	0.054404145077720206	9	367.3084543438787	4939	331	0.2	414591.46987863525	84	1544	21	381	1
[3, 1]	['22', '2']	0	0.945489941596366	0.945489941596366	2	367.3084543438787	4955	343	0.4	734.6169086877574	1457	1541	360	381	1
[0]	['4']	1	0.055269922879177376	0.055269922879177376	4	483.9718743720593	4999	349	0.2	106215.44101737581	86	1556	21	384	1
[1, 3]	['2', '21']	1	0.05426356589147287	0.05426356589147287	4	367.90480052107677	4994	386	0.4	82240.07855868139	84	1548	21	387	1
[3]	['23']	1	0.0546875	0.0546875	4	456.8534408258648	4999	391	0.2	101331.67496056198	84	1536	21	384	1
[2, 3, 0]	[[6.585000000000008, 407.41499999999996], '23', '4']	1	0.0546875	0.0546875	1	475.87906459125105	4999	391	0.6	6596.976511565387	28	512	7	128	1
[3]	['21']	0	0.9456662354463131	0.9456662354463131	7	367.90480052107677	4987	395	0.2	2575.3336036475375	1462	1546	366	387	1
[1]	['2']	0	0.9454029264031448	0.9454029264031448	36	416.56061187722236	4987	420	0.2	432915.03675947373	4329	4579	1089	1152	1
[0]	['6']	1	0.0533596837944664	0.0533596837944664	1	333.3207197594841	4994	434	0.2	4735.714065572824	81	1518	21	384	1
[4, 2]	['1', [467.12, 880.88]]	1	1.0	1.0	4	244.76490099954725	4957	452	0.4	979.059603998189	43	43	11	11	1
[3]	['23']	0	0.9460359760159893	0.9460359760159893	10	456.8534408258648	4977	470	0.2	4568.534408258648	1420	1501	363	384	1
[3, 0]	['21', '6']	1	0.05304518664047151	0.05304518664047151	1	313.89962605645667	4994	475	0.4	4486.226799700125	27	509	7	129	1
[2]	[[153.91, 490.09000000000003]]	1	0.028272894898586354	0.028272894898586354	1	345.46350082606284	4982	475	0.2	9263.354829841724	92	3254	24	828	1
[2]	[[81.58500000000001, 482.41499999999996]]	0	0.9731142643764003	0.9731142643764003	1	414.8405565111351	4987	492	0.2	414.8405565111351	3909	4017	999	1027	1
[2, 0]	[[6.585000000000008, 1028.83], '5']	1	0.05425318151373074	0.05425318151373074	1	369.80766214752157	4939	513	0.4	5167.578741257256	81	1493	21	384	1
[2, 3, 4, 1]	[[-124.30000000000001, 407.41499999999996], '23', '2', '2']	1	0.12186379928315412	0.12186379928315412	1	496.80415798497245	4999	513	0.8	496.80415798497245	34	279	9	72	1
[2]	[[-38.52999999999997, 504.53]]	0	0.9752715507279871	0.9752715507279871	1	423.92095941583386	4987	535	0.2	423.92095941583386	4220	4327	1089	1117	1
[0]	['4']	0	0.9438127090301003	0.9438127090301003	13	483.9718743720593	4987	535	0.2	65698.79681818184	1411	1495	363	384	1
[4, 3]	['2', '21']	1	0.11824324324324324	0.11824324324324324	2	332.59320599241806	4994	538	0.4	8529.693786775833	35	296	9	75	1
[2, 1]	[[563.4483598295886, 620.1800000000001], '2']	0	0.0	0.0	1	203.3597631686705	555	555	0.4	15417.055518110465	0	20	0	5	1
[2, 4]	[[30.332594565060006, 504.53], '1']	0	0.9555837563451777	0.9555837563451777	1	392.8059679539969	4925	555	0.4	392.8059679539969	753	788	197	206	1
[2]	[[94.935, 625.065]]	0	0.9658886894075404	0.9658886894075404	1	414.7348260152473	4987	561	0.2	414.7348260152473	3766	3899	978	1013	1
