Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[2]	[[617.47, 1160.53]]	1	1.0	1.0	2	206.3613896846681	99970	37	0.2	412.7227793693362	2256	2256	27	27	1
[3]	['22']	0	0.9448854684280693	0.9448854684280693	3	293.94718886489375	99872	191	0.2	881.8415665946812	31185	33004	360	381	1
[3]	['21']	0	0.9458029415281598	0.9458029415281598	5	297.11736641622815	99994	395	0.2	1548.7294251267824	31639	33452	366	387	1
[1]	['2']	0	0.9453197963426023	0.9453197963426023	11	305.67032473184565	99994	420	0.2	3422.9203248605413	94134	99579	1089	1152	1
[3]	['23']	0	0.9452364447391423	0.9452364447391423	4	316.2062622575989	99981	470	0.2	1245.5489238874911	31362	33179	363	384	1
[0]	['4']	0	0.9453744759146985	0.9453744759146985	1	313.1561251719338	99994	535	0.2	314.7439455811466	31342	33153	363	384	1
[0]	['6']	0	0.9452985773401396	0.9452985773401396	2	289.55950502636216	99954	687	0.2	585.8987625659054	31296	33107	363	384	1
[4]	['1']	0	0.881451695001527	0.881451695001527	1	292.5905117276616	99889	728	0.2	297.488139659577	17317	19646	201	228	1
[4]	['2']	0	0.8685287497442193	0.8685287497442193	1	313.6183628843778	99919	1233	0.2	313.6183628843778	16978	19548	198	228	1
[0]	['5']	0	0.9452526916155793	0.9452526916155793	6	303.24852935633953	99981	1644	0.2	1801.579962715683	30992	32787	363	384	1
[4]	['3']	0	1.0	1.0	12	316.23931546203175	99994	3740	0.2	3759.737164913095	19562	19562	234	234	1
[4]	['4']	0	1.0	1.0	9	303.3583089600828	99981	4867	0.2	2730.2247806407454	19073	19073	231	231	1
[2]	[[531.4949999999999, 1319.6838276481042]]	1	1.0	1.0	1	214.7064735436034	99970	6298	0.2	214.7064735436034	2843	2843	35	35	1
[2]	[[343.6760715843162, 359.74]]	0	1.0	1.0	4	317.1817552734641	99889	13779	0.2	1268.7270210938564	3293	3293	44	44	1
[2]	[[50.561438867316625, 95.99752189604439]]	0	1.0	1.0	3	315.4687025391173	99972	14712	0.2	955.0720431521123	6371	6371	86	86	1
[2]	[[184.75761467400457, 204.625]]	0	1.0	1.0	9	327.1463932866476	99994	15982	0.2	2922.146924474786	5616	5616	77	77	1
[2]	[[-124.30000000000001, 95.99752189604439]]	0	1.0	1.0	4	313.6666082565836	99972	19192	0.2	1262.166301603647	7997	7997	114	114	1
[2]	[[330.32, 359.46]]	0	1.0	1.0	3	319.72882519256007	99981	21514	0.2	959.1864755776802	6405	6405	94	94	1
[2]	[[229.19345272330955, 246.345]]	0	1.0	1.0	4	335.473688233758	99954	22301	0.2	1341.894752935032	4248	4248	63	63	1
[2]	[[532.8199999999999, 1426.505]]	1	1.0	1.0	1	214.7064735436034	99970	26313	0.2	214.7064735436034	2237	2237	35	35	1
[2]	[[343.6760715843162, 359.46]]	0	1.0	1.0	3	317.1817552734641	99889	27113	0.2	951.5452658203923	2786	2786	44	44	1
[2]	[[229.19345272330955, 244.6250544901826]]	0	1.0	1.0	4	337.1171015305962	99954	29082	0.2	1348.4684061223847	3442	3442	56	56	1
[2]	[[583.9908512063646, 1361.7226241902122]]	1	1.0	1.0	1	207.8798546902977	99970	31784	0.2	207.8798546902977	1953	1953	33	33	1
[2, 4]	[[1141.7255648212115, 1361.7226241902122], '1']	1	1.0	1.0	1	137.33341996876769	98889	33281	0.4	137.33341996876769	57	57	1	1	1
[2]	[[-124.30000000000001, 267.205]]	0	0.9826111968203332	0.9826111968203332	1	316.0434378200354	99994	36152	0.2	311.0692144922567	37578	38243	678	690	1
[2]	[[507.565, 1270.435]]	1	1.0	1.0	1	215.53802318397288	99970	36901	0.2	215.53802318397288	1859	1859	34	34	1
[2]	[[737.24, 134.3]]	1	0.1	1.0	1	193.5571250070865	37851	37851	0.2	193.5571250070865	0	0	0	0	1
[2, 1]	[[730.285, 134.3], '2']	1	0.1	1.0	1	203.91160870363615	39449	39449	0.4	203.91160870363615	0	0	0	0	1
[2, 3]	[[244.12, 605.085], '23']	1	0.23828647925033467	0.23828647925033467	1	338.4608497965985	99898	41610	0.4	338.4608497965985	712	2988	14	59	1
[2]	[[617.47, 1317.46]]	1	1.0	1.0	1	203.94979383695392	99970	41935	0.2	203.94979383695392	1457	1457	29	29	1
[2]	[[521.61, 1147.9807177328844]]	1	1.0	1.0	1	215.9886550774088	99970	42566	0.2	215.9886550774088	1544	1544	31	31	1
