Round,date,time,place,Opponent,Results
Group H,19/09/2012,19:45,H,Galatasaray,1:0 (1:0)
Group H,02/10/2012,19:45,A,CFR Cluj,2:1 (1:1)
Group H,23/10/2012,19:45,H,Sporting Braga,3:2 (1:2)
Group H,07/11/2012,19:45,A,Sporting Braga,3:1 (0:0)
Group H,20/11/2012,19:45,A,Galatasaray,0:1 (0:0)
Group H,05/12/2012,19:45,H,CFR Cluj,0:1 (0:0)
Round of 16,13/02/2013,19:45,A,Real Madrid,1:1 (1:1)
Round of 16,05/03/2013,19:45,H,Real Madrid,1:2 (0:0)
1. Round,20/08/2012,20:00,A,Everton FC,0:1 (0:0)
2. Round,25/08/2012,15:00,H,Fulham FC,3:2 (3:1)
3. Round,02/09/2012,16:00,A,Southampton FC,3:2 (1:1)
4. Round,15/09/2012,15:00,H,Wigan Athletic,4:0 (0:0)
5. Round,23/09/2012,13:30,A,Liverpool FC,2:1 (0:0)
6. Round,29/09/2012,17:30,H,Tottenham Hotspur,2:3 (0:2)
7. Round,07/10/2012,16:00,A,Newcastle United,3:0 (2:0)
8. Round,20/10/2012,15:00,H,Stoke City,4:2 (2:1)
9. Round,28/10/2012,16:00,A,Chelsea FC,3:2 (2:1)
10. Round,03/11/2012,12:45,H,Arsenal FC,2:1 (1:0)
11. Round,10/11/2012,17:30,A,Aston Villa,3:2 (0:1)
12. Round,17/11/2012,17:30,A,Norwich City,0:1 (0:0)
13. Round,24/11/2012,15:00,H,Queens Park Rangers,3:1 (0:0)
14. Round,28/11/2012,20:00,H,West Ham United,1:0 (1:0)
15. Round,01/12/2012,17:30,A,Reading FC,4:3 (4:3)
16. Round,09/12/2012,13:30,A,Manchester City,3:2 (2:0)
17. Round,15/12/2012,15:00,H,Sunderland AFC,3:1 (2:0)
18. Round,23/12/2012,13:30,A,Swansea City,1:1 (1:1)
19. Round,26/12/2012,15:00,H,Newcastle United,4:3 (1:2)
20. Round,29/12/2012,15:00,H,West Bromwich Albion,2:0 (1:0)
21. Round,01/01/2013,15:00,A,Wigan Athletic,4:0 (2:0)
22. Round,13/01/2013,13:30,H,Liverpool FC,2:1 (1:0)
23. Round,20/01/2013,16:00,A,Tottenham Hotspur,1:1 (1:0)
24. Round,30/01/2013,20:00,H,Southampton FC,2:1 (2:1)
25. Round,02/02/2013,17:30,A,Fulham FC,1:0 (0:0)
26. Round,10/02/2013,16:00,H,Everton FC,2:0 (2:0)
27. Round,23/02/2013,15:00,A,Queens Park Rangers,2:0 (1:0)
28. Round,02/03/2013,15:00,H,Norwich City,4:0 (1:0)
30. Round,16/03/2013,17:30,H,Reading FC,1:0 (1:0)
31. Round,30/03/2013,12:45,A,Sunderland AFC,1:0 (1:0)
32. Round,08/04/2013,20:00,H,Manchester City,1:2 (0:0)
33. Round,14/04/2013,14:05,A,Stoke City,2:0 (1:0)
29. Round,17/04/2013,19:45,A,West Ham United,2:2 (1:1)
34. Round,22/04/2013,20:00,H,Aston Villa,3:0 (3:0)
35. Round,28/04/2013,16:00,A,Arsenal FC,1:1 (1:1)
36. Round,05/05/2013,16:00,H,Chelsea FC,0:1 (0:0)
37. Round,12/05/2013,16:00,H,Swansea City,2:1 (1:0)
38. Round,19/05/2013,16:00,A,West Bromwich Albion,5:5 (3:1)
3. Round,05/01/2013,17:15,A,West Ham United,2:2 (1:1)
3. Round,16/01/2013,20:05,H,West Ham United,1:0 (1:0)
4. Round,26/01/2013,17:30,H,Fulham FC,4:1 (1:0)
Round of 16,18/02/2013,20:00,H,Reading FC,2:1 (0:0)
Quarter-finals,10/03/2013,16:30,H,Chelsea FC,2:2 (2:0)
Quarter-finals,01/04/2013,12:30,A,Chelsea FC,0:1 (0:0)
3. Round,26/09/2012,19:45,H,Newcastle United,2:1 (1:0)
Round of 16,31/10/2012,19:45,A,Chelsea FC,"4:5 (2:1, 3:3) aet"
