Round,date,time,place,Opponent,Results
Group A,17/09/2013,19:45,H,Bayer Leverkusen,4:2 (1:0)
Group A,02/10/2013,19:45,A,Shakhtar Donetsk,1:1 (1:0)
Group A,23/10/2013,19:45,H,Real Sociedad,1:0 (1:0)
Group A,05/11/2013,19:45,A,Real Sociedad,0:0 (0:0)
Group A,27/11/2013,19:45,A,Bayer Leverkusen,5:0 (2:0)
Group A,10/12/2013,19:45,H,Shakhtar Donetsk,1:0 (0:0)
Round of 16,25/02/2014,19:45,A,Olympiakos Piräus,0:2 (0:1)
Round of 16,19/03/2014,19:45,H,Olympiakos Piräus,3:0 (2:0)
Quarter-finals,01/04/2014,19:45,H,Bayern München,1:1 (0:0)
Quarter-finals,09/04/2014,19:45,A,Bayern München,1:3 (0:0)
1. Round,17/08/2013,17:30,A,Swansea City,4:1 (2:0)
2. Round,26/08/2013,20:00,H,Chelsea FC,0:0 (0:0)
3. Round,01/09/2013,13:30,A,Liverpool FC,0:1 (0:1)
4. Round,14/09/2013,12:45,H,Crystal Palace,2:0 (1:0)
5. Round,22/09/2013,16:00,A,Manchester City,1:4 (0:2)
6. Round,28/09/2013,15:00,H,West Bromwich Albion,1:2 (0:0)
7. Round,05/10/2013,17:30,A,Sunderland AFC,2:1 (0:1)
8. Round,19/10/2013,15:00,H,Southampton FC,1:1 (1:0)
9. Round,26/10/2013,15:00,H,Stoke City,3:2 (1:2)
10. Round,02/11/2013,15:00,A,Fulham FC,3:1 (3:0)
11. Round,10/11/2013,16:10,H,Arsenal FC,1:0 (1:0)
12. Round,24/11/2013,16:00,A,Cardiff City,2:2 (2:1)
13. Round,01/12/2013,12:00,A,Tottenham Hotspur,2:2 (1:1)
14. Round,04/12/2013,19:45,H,Everton FC,0:1 (0:0)
15. Round,07/12/2013,12:45,H,Newcastle United,0:1 (0:0)
16. Round,15/12/2013,13:30,A,Aston Villa,3:0 (2:0)
17. Round,21/12/2013,15:00,H,West Ham United,3:1 (2:0)
18. Round,26/12/2013,12:45,A,Hull City,3:2 (2:2)
19. Round,28/12/2013,15:00,A,Norwich City,1:0 (0:0)
20. Round,01/01/2014,17:30,H,Tottenham Hotspur,1:2 (0:1)
21. Round,11/01/2014,17:30,H,Swansea City,2:0 (0:0)
22. Round,19/01/2014,16:00,A,Chelsea FC,1:3 (0:2)
23. Round,28/01/2014,19:45,H,Cardiff City,2:0 (1:0)
24. Round,01/02/2014,15:00,A,Stoke City,1:2 (0:1)
25. Round,09/02/2014,16:00,H,Fulham FC,2:2 (0:1)
26. Round,12/02/2014,19:45,A,Arsenal FC,0:0 (0:0)
27. Round,22/02/2014,17:30,A,Crystal Palace,2:0 (0:0)
29. Round,08/03/2014,12:45,A,West Bromwich Albion,3:0 (1:0)
30. Round,16/03/2014,13:30,H,Liverpool FC,0:3 (0:1)
31. Round,22/03/2014,17:30,A,West Ham United,2:0 (2:0)
28. Round,25/03/2014,19:45,H,Manchester City,0:3 (0:1)
32. Round,29/03/2014,12:45,H,Aston Villa,4:1 (2:1)
33. Round,05/04/2014,15:00,A,Newcastle United,4:0 (1:0)
35. Round,20/04/2014,16:10,A,Everton FC,0:2 (0:2)
36. Round,26/04/2014,17:30,H,Norwich City,4:0 (1:0)
37. Round,03/05/2014,15:00,H,Sunderland AFC,0:1 (0:1)
34. Round,06/05/2014,19:45,H,Hull City,3:1 (1:0)
38. Round,11/05/2014,15:00,A,Southampton FC,1:1 (0:1)
3. Round,05/01/2014,16:30,H,Swansea City,1:2 (1:1)
3. Round,25/09/2013,19:45,H,Liverpool FC,1:0 (0:0)
Round of 16,29/10/2013,19:45,H,Norwich City,4:0 (1:0)
Quarter-finals,18/12/2013,19:45,A,Stoke City,2:0 (0:0)
Semi-finals,07/01/2014,19:45,A,Sunderland AFC,1:2 (0:1)
Semi-finals,22/01/2014,19:45,H,Sunderland AFC,"1:2 (1:0, 1:0, 2:1) pso"
Final,11/08/2013,14:00,N,Wigan Athletic,2:0 (1:0)
