Round,date,time,place,Opponent,Results
1. Round,16/08/2014,12:45,H,Swansea City,1:2 (0:1)
2. Round,24/08/2014,16:00,A,Sunderland AFC,1:1 (1:1)
3. Round,30/08/2014,12:45,A,Burnley FC,0:0 (0:0)
4. Round,14/09/2014,16:00,H,Queens Park Rangers,4:0 (3:0)
5. Round,21/09/2014,13:30,A,Leicester City,3:5 (2:1)
6. Round,27/09/2014,15:00,H,West Ham United,2:1 (2:1)
7. Round,05/10/2014,12:00,H,Everton FC,2:1 (1:0)
8. Round,20/10/2014,20:00,A,West Bromwich Albion,2:2 (0:1)
9. Round,26/10/2014,16:00,H,Chelsea FC,1:1 (0:0)
10. Round,02/11/2014,13:30,A,Manchester City,0:1 (0:0)
11. Round,08/11/2014,15:00,H,Crystal Palace,1:0 (0:0)
12. Round,22/11/2014,17:30,A,Arsenal FC,2:1 (0:0)
13. Round,29/11/2014,15:00,H,Hull City,3:0 (2:0)
14. Round,02/12/2014,19:45,H,Stoke City,2:1 (1:1)
15. Round,08/12/2014,20:00,A,Southampton FC,2:1 (1:1)
16. Round,14/12/2014,13:30,H,Liverpool FC,3:0 (2:0)
17. Round,20/12/2014,15:00,A,Aston Villa,1:1 (0:1)
18. Round,26/12/2014,15:00,H,Newcastle United,3:1 (2:0)
19. Round,28/12/2014,12:00,A,Tottenham Hotspur,0:0 (0:0)
20. Round,01/01/2015,12:45,A,Stoke City,1:1 (1:1)
21. Round,11/01/2015,16:00,H,Southampton FC,0:1 (0:0)
22. Round,17/01/2015,15:00,A,Queens Park Rangers,2:0 (0:0)
23. Round,31/01/2015,15:00,H,Leicester City,3:1 (3:0)
24. Round,08/02/2015,16:15,A,West Ham United,1:1 (0:0)
25. Round,11/02/2015,19:45,H,Burnley FC,3:1 (2:1)
26. Round,21/02/2015,15:00,A,Swansea City,1:2 (1:1)
27. Round,28/02/2015,15:00,H,Sunderland AFC,2:0 (0:0)
28. Round,04/03/2015,19:45,A,Newcastle United,1:0 (0:0)
29. Round,15/03/2015,16:00,H,Tottenham Hotspur,3:0 (3:0)
30. Round,22/03/2015,13:30,A,Liverpool FC,2:1 (1:0)
31. Round,04/04/2015,15:00,H,Aston Villa,3:1 (1:0)
32. Round,12/04/2015,16:00,H,Manchester City,4:2 (2:1)
33. Round,18/04/2015,17:30,A,Chelsea FC,0:1 (0:1)
34. Round,26/04/2015,13:30,A,Everton FC,0:3 (0:2)
35. Round,02/05/2015,17:30,H,West Bromwich Albion,0:1 (0:0)
36. Round,09/05/2015,17:30,A,Crystal Palace,2:1 (1:0)
37. Round,17/05/2015,16:00,H,Arsenal FC,1:1 (1:0)
38. Round,24/05/2015,15:00,A,Hull City,0:0 (0:0)
3. Round,04/01/2015,15:30,A,Yeovil Town,2:0 (0:0)
4. Round,23/01/2015,19:55,A,Cambridge United,0:0 (0:0)
4. Round,03/02/2015,20:00,H,Cambridge United,3:0 (2:0)
Round of 16,16/02/2015,19:45,A,Preston North End,3:1 (0:0)
Quarter-finals,09/03/2015,19:45,H,Arsenal FC,1:2 (1:1)
2. Round,26/08/2014,20:00,A,Milton Keynes Dons,0:4 (0:1)
