Round,date,time,place,Opponent,Results
Week,16/07/2017,03:00,A,Los Angeles Galaxy,5:2 (3:0)
Week,18/07/2017,03:00,A,Real Salt Lake,2:1 (2:1)
Week,21/07/2017,03:00,N,Manchester City,2:0 (2:0)
Week,23/07/2017,22:00,N,Real Madrid,"2:1 (1:0, 1:1) pso"
Week,27/07/2017,00:30,N,FC Barcelona,0:1 (0:1)
Week,30/07/2017,18:00,A,Vålerenga IF,3:0 (1:0)
Week,02/08/2017,19:45,H,Sampdoria,2:1 (1:0)
Group A,12/09/2017,19:45,H,FC Basel,3:0 (1:0)
Group A,27/09/2017,19:45,A,CSKA Moskva,4:1 (3:0)
Group A,18/10/2017,19:45,A,SL Benfica,1:0 (0:0)
Group A,31/10/2017,19:45,H,SL Benfica,2:0 (1:0)
Group A,22/11/2017,19:45,A,FC Basel,0:1 (0:0)
Group A,05/12/2017,19:45,H,CSKA Moskva,2:1 (0:1)
Round of 16,21/02/2018,19:45,A,Sevilla FC,0:0 (0:0)
Round of 16,13/03/2018,19:45,H,Sevilla FC,1:2 (0:0)
Final,08/08/2017,19:45,N,Real Madrid,1:2 (0:1)
1. Round,13/08/2017,16:00,H,West Ham United,4:0 (1:0)
2. Round,19/08/2017,12:30,A,Swansea City,4:0 (1:0)
3. Round,26/08/2017,17:30,H,Leicester City,2:0 (0:0)
4. Round,09/09/2017,17:30,A,Stoke City,2:2 (1:1)
5. Round,17/09/2017,16:00,H,Everton FC,4:0 (1:0)
6. Round,23/09/2017,15:00,A,Southampton FC,1:0 (1:0)
7. Round,30/09/2017,15:00,H,Crystal Palace,4:0 (2:0)
8. Round,14/10/2017,12:30,A,Liverpool FC,0:0 (0:0)
9. Round,21/10/2017,15:00,A,Huddersfield Town,1:2 (0:2)
10. Round,28/10/2017,12:30,H,Tottenham Hotspur,1:0 (0:0)
11. Round,05/11/2017,16:30,A,Chelsea FC,0:1 (0:0)
12. Round,18/11/2017,17:30,H,Newcastle United,4:1 (2:1)
13. Round,25/11/2017,15:00,H,Brighton & Hove Albion,1:0 (0:0)
14. Round,28/11/2017,20:00,A,Watford FC,4:2 (3:0)
15. Round,02/12/2017,17:30,A,Arsenal FC,3:1 (2:0)
16. Round,10/12/2017,16:30,H,Manchester City,1:2 (1:1)
17. Round,13/12/2017,20:00,H,AFC Bournemouth,1:0 (1:0)
18. Round,17/12/2017,14:15,A,West Bromwich Albion,2:1 (2:0)
19. Round,23/12/2017,19:45,A,Leicester City,2:2 (1:1)
20. Round,26/12/2017,15:00,H,Burnley FC,2:2 (0:2)
21. Round,30/12/2017,17:30,H,Southampton FC,0:0 (0:0)
22. Round,01/01/2018,17:30,A,Everton FC,2:0 (0:0)
23. Round,15/01/2018,20:00,H,Stoke City,3:0 (2:0)
24. Round,20/01/2018,15:00,A,Burnley FC,1:0 (0:0)
25. Round,31/01/2018,20:00,A,Tottenham Hotspur,0:2 (0:2)
26. Round,03/02/2018,15:00,H,Huddersfield Town,2:0 (0:0)
27. Round,11/02/2018,14:15,A,Newcastle United,0:1 (0:0)
28. Round,25/02/2018,14:05,H,Chelsea FC,2:1 (1:1)
29. Round,05/03/2018,20:00,A,Crystal Palace,3:2 (0:1)
30. Round,10/03/2018,12:30,H,Liverpool FC,2:1 (2:0)
32. Round,31/03/2018,15:00,H,Swansea City,2:0 (2:0)
33. Round,07/04/2018,17:30,A,Manchester City,3:2 (0:2)
34. Round,15/04/2018,16:00,H,West Bromwich Albion,0:1 (0:0)
35. Round,18/04/2018,19:45,A,AFC Bournemouth,2:0 (1:0)
36. Round,29/04/2018,16:30,H,Arsenal FC,2:1 (1:0)
37. Round,04/05/2018,20:00,A,Brighton & Hove Albion,0:1 (0:0)
31. Round,10/05/2018,19:45,A,West Ham United,0:0 (0:0)
38. Round,13/05/2018,15:00,H,Watford FC,1:0 (1:0)
3. Round,05/01/2018,20:00,H,Derby County,2:0 (0:0)
4. Round,26/01/2018,19:55,A,Yeovil Town,4:0 (1:0)
Round of 16,17/02/2018,17:30,A,Huddersfield Town,2:0 (1:0)
Quarter-finals,17/03/2018,19:45,H,Brighton & Hove Albion,2:0 (1:0)
Semi-finals,21/04/2018,17:15,H,Tottenham Hotspur,2:1 (1:1)
Final,19/05/2018,17:15,N,Chelsea FC,0:1 (0:1)
3. Round,20/09/2017,20:00,H,Burton Albion,4:1 (3:0)
Round of 16,24/10/2017,19:45,A,Swansea City,2:0 (1:0)
Quarter-finals,20/12/2017,20:00,A,Bristol City,1:2 (0:0)
