LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
6	2	203	22	0	0
4	2	58	23	0	0
5	2	117	23	0	0
6	2	167	23	0	0
4	2	246	21	1	0
5	2	323	21	1	0
6	2	335	21	1	0
4	2	267	22	1	0
5	2	408	22	1	0
6	2	440	22	1	0
4	2	71	23	1	0
5	2	140	23	1	0
6	2	198	23	1	0
4	2	229	21	2	0
5	2	295	21	2	0
6	2	337	21	2	0
4	2	171	22	2	0
5	2	282	22	2	0
6	2	288	22	2	0
4	2	73	23	2	0
5	2	142	23	2	0
6	2	166	23	2	0
4	2	219	21	3	0
5	2	289	21	3	0
6	2	321	21	3	0
4	2	182	22	3	0
5	2	316	22	3	0
6	2	356	22	3	0
4	2	92	23	3	0
5	2	164	23	3	0
6	2	187	23	3	0
4	2	231	21	4	0
5	2	326	21	4	0
6	2	334	21	4	0
4	2	169	22	4	0
5	2	304	22	4	0
6	2	344	22	4	0
4	2	131	23	4	0
5	2	231	23	4	0
6	2	239	23	4	0
4	2	148	21	0	0
5	2	238	21	0	0
6	2	297	21	0	0
4	2	102	22	0	0
5	2	225	22	0	0
6	2	244	22	0	0
4	2	79	23	0	0
5	2	150	23	0	0
6	2	162	23	0	0
4	2	220	21	1	0
5	2	315	21	1	0
6	2	308	21	1	0
4	2	195	22	1	0
5	2	246	22	1	0
6	2	352	22	1	0
4	2	65	23	1	0
5	2	137	23	1	0
6	2	151	23	1	0
4	2	239	21	2	0
5	2	302	21	2	0
6	2	333	21	2	0
4	2	182	22	2	0
5	2	291	22	2	0
6	2	347	22	2	0
4	2	65	23	2	0
5	2	165	23	2	0
6	2	184	23	2	0
4	2	238	21	3	0
5	2	281	21	3	0
6	2	333	21	3	0
4	2	157	22	3	0
5	2	271	22	3	0
6	2	351	22	3	0
4	2	104	23	3	0
5	2	223	23	3	0
6	2	234	23	3	0
4	2	212	21	4	0
5	2	323	21	4	0
6	2	326	21	4	0
4	2	185	22	4	0
5	2	296	22	4	0
6	2	411	22	4	0
4	2	123	23	4	0
5	2	254	23	4	0
6	2	243	23	4	0
4	2	250	21	0	0
5	2	355	21	0	0
6	2	341	21	0	0
4	2	123	22	0	0
5	2	175	22	0	0
6	2	202	22	0	0
4	2	47	23	0	0
5	2	95	23	0	0
6	2	120	23	0	0
4	2	196	21	1	0
5	2	342	21	1	0
6	2	327	21	1	0
4	2	158	22	1	0
5	2	244	22	1	0
6	2	277	22	1	0
4	2	50	23	1	0
5	2	118	23	1	0
6	2	130	23	1	0
4	2	205	21	2	0
5	2	320	21	2	0
6	2	342	21	2	0
4	2	167	22	2	0
5	2	263	22	2	0
6	2	347	22	2	0
4	2	74	23	2	0
5	2	194	23	2	0
6	2	245	23	2	0
4	2	196	21	3	0
5	2	292	21	3	0
6	2	355	21	3	0
