Round,date,time,place,Opponent,Results
Group C,14/09/2011,19:45,A,SL Benfica,1:1 (1:1)
Group C,27/09/2011,19:45,H,FC Basel,3:3 (2:0)
Group C,18/10/2011,19:45,A,Oţelul Galaţi,2:0 (0:0)
Group C,02/11/2011,19:45,H,Oţelul Galaţi,2:0 (1:0)
Group C,22/11/2011,19:45,H,SL Benfica,2:2 (1:1)
Group C,07/12/2011,19:45,A,FC Basel,1:2 (0:1)
2. Round,16/02/2012,18:00,A,AFC Ajax,2:0 (0:0)
2. Round,23/02/2012,20:05,H,AFC Ajax,1:2 (1:1)
Round of 16,08/03/2012,20:05,H,Athletic Bilbao,2:3 (1:1)
Round of 16,15/03/2012,18:00,A,Athletic Bilbao,1:2 (0:1)
1. Round,14/08/2011,16:00,A,West Bromwich Albion,2:1 (1:1)
2. Round,22/08/2011,20:00,H,Tottenham Hotspur,3:0 (0:0)
3. Round,28/08/2011,16:00,H,Arsenal FC,8:2 (3:1)
4. Round,10/09/2011,17:30,A,Bolton Wanderers,5:0 (3:0)
5. Round,18/09/2011,16:00,H,Chelsea FC,3:1 (3:0)
6. Round,24/09/2011,17:30,A,Stoke City,1:1 (1:0)
7. Round,01/10/2011,15:00,H,Norwich City,2:0 (0:0)
8. Round,15/10/2011,12:45,A,Liverpool FC,1:1 (0:0)
9. Round,23/10/2011,13:30,H,Manchester City,1:6 (0:1)
10. Round,29/10/2011,12:00,A,Everton FC,1:0 (1:0)
11. Round,05/11/2011,15:00,H,Sunderland AFC,1:0 (1:0)
12. Round,19/11/2011,17:30,A,Swansea City,1:0 (1:0)
13. Round,26/11/2011,15:00,H,Newcastle United,1:1 (0:0)
14. Round,03/12/2011,17:30,A,Aston Villa,1:0 (1:0)
15. Round,10/12/2011,15:00,H,Wolverhampton Wanderers,4:1 (2:0)
16. Round,18/12/2011,12:00,A,Queens Park Rangers,2:0 (1:0)
17. Round,21/12/2011,20:00,A,Fulham FC,5:0 (3:0)
18. Round,26/12/2011,15:00,H,Wigan Athletic,5:0 (2:0)
19. Round,31/12/2011,12:45,H,Blackburn Rovers,2:3 (0:1)
20. Round,04/01/2012,20:00,A,Newcastle United,0:3 (0:1)
21. Round,14/01/2012,15:00,H,Bolton Wanderers,3:0 (1:0)
22. Round,22/01/2012,16:00,A,Arsenal FC,2:1 (1:0)
23. Round,31/01/2012,20:00,H,Stoke City,2:0 (1:0)
24. Round,05/02/2012,16:00,A,Chelsea FC,3:3 (0:1)
25. Round,11/02/2012,12:45,H,Liverpool FC,2:1 (0:0)
26. Round,26/02/2012,13:30,A,Norwich City,2:1 (1:0)
27. Round,04/03/2012,16:10,A,Tottenham Hotspur,3:1 (1:0)
28. Round,11/03/2012,14:00,H,West Bromwich Albion,2:0 (1:0)
29. Round,18/03/2012,13:30,A,Wolverhampton Wanderers,5:0 (3:0)
30. Round,26/03/2012,20:00,H,Fulham FC,1:0 (1:0)
31. Round,02/04/2012,20:00,A,Blackburn Rovers,2:0 (0:0)
32. Round,08/04/2012,13:30,H,Queens Park Rangers,2:0 (1:0)
33. Round,11/04/2012,19:45,A,Wigan Athletic,0:1 (0:0)
34. Round,15/04/2012,16:00,H,Aston Villa,4:0 (2:0)
35. Round,22/04/2012,12:30,H,Everton FC,4:4 (1:1)
36. Round,30/04/2012,20:00,A,Manchester City,0:1 (0:1)
37. Round,06/05/2012,16:00,H,Swansea City,2:0 (2:0)
38. Round,13/05/2012,15:00,A,Sunderland AFC,1:0 (1:0)
3. Round,08/01/2012,13:00,A,Manchester City,3:2 (3:0)
4. Round,28/01/2012,12:45,A,Liverpool FC,1:2 (1:1)
3. Round,20/09/2011,19:45,A,Leeds United,3:0 (3:0)
Round of 16,25/10/2011,19:45,A,Aldershot Town,3:0 (2:0)
Quarter-finals,30/11/2011,19:45,H,Crystal Palace,"1:2 (0:0, 1:1) aet"
Final,07/08/2011,14:30,N,Manchester City,3:2 (0:2)
